User Input,Chatbot Response,Timestamp
hello,Nothing much,2025-03-14 19:42:03
hello,Hello,2025-03-14 19:42:04
hello,Hi there,2025-03-14 19:42:05
hello,"I'm fine, thank you",2025-03-14 19:42:05
hello,Hi there,2025-03-14 19:42:06
hello,Hi there,2025-03-14 19:42:07
hello,Hey,2025-03-14 19:42:08
hello,Nothing much,2025-03-14 19:42:09
hello,"I'm fine, thank you",2025-03-14 19:42:09
hello,"I'm fine, thank you",2025-03-14 19:42:10
hello,Hi there,2025-03-14 19:42:11
hello,"I'm fine, thank you",2025-03-14 19:42:12
hello,Nothing much,2025-03-14 19:42:12
hello,Nothing much,2025-03-14 19:42:13
hello,"I'm fine, thank you",2025-03-14 19:42:14
hello,Hello,2025-03-14 19:42:15
hello,Hello,2025-03-14 19:42:16
hello,"I'm fine, thank you",2025-03-14 19:42:16
hello,Hello,2025-03-14 19:42:17
hello,"I'm fine, thank you",2025-03-14 19:42:18
hello,"I'm fine, thank you",2025-03-14 19:42:19
hello,Hey,2025-03-14 19:42:20
hello,Nothing much,2025-03-14 19:42:21
hello,"I'm fine, thank you",2025-03-14 19:42:22
hello,Hey,2025-03-14 19:42:23
hello,Nothing much,2025-03-14 19:42:24
hello,Hey,2025-03-14 19:42:25
hello,Hey,2025-03-14 19:42:26
hello,Hello,2025-03-14 19:42:27
hello,"I'm fine, thank you",2025-03-14 19:42:28
hello,"I'm fine, thank you",2025-03-14 19:42:29
hello,Nothing much,2025-03-14 19:42:30
hello,Hey,2025-03-14 19:42:31
hello,Hello,2025-03-14 19:42:32
hello,Hey,2025-03-14 19:42:32
hello,Hello,2025-03-14 19:42:33
hello,Hello,2025-03-14 19:42:34
hello,Hi there,2025-03-14 19:42:35
hello,Hey,2025-03-14 19:42:37
hello,Hello,2025-03-14 19:42:38
hello,Hi there,2025-03-14 19:42:39
hello,Hey,2025-03-14 19:42:39
hello,"I'm fine, thank you",2025-03-14 19:42:40
hello,Nothing much,2025-03-14 19:42:41
hello,Nothing much,2025-03-14 19:42:42
hello,"I'm fine, thank you",2025-03-14 19:42:43
hello,Hi there,2025-03-14 19:42:44
hello,Hello,2025-03-14 19:42:45
hello,"I'm fine, thank you",2025-03-14 19:42:46
hello,Hey,2025-03-14 19:42:47
hello,Hi there,2025-03-14 19:42:48
hello,"I'm fine, thank you",2025-03-14 19:42:49
hello,"I'm fine, thank you",2025-03-14 19:42:50
hello,Hey,2025-03-14 19:43:42
hello,Hey,2025-03-14 19:45:04
budget,"To create a budget, start by setting financial goals for yourself. Then, track your income and expenses for a few months to get a sense of where your money is going. Next, create a budget by allocating your income towards essential expenses, savings and debt repayment, and discretionary expenses.",2025-03-14 19:45:18
